DATA,SRAG,PNEUMONIA,INSUFICIENCIA RESPIRATORIA,SEPTICEMIA,DEMAIS OBITOS,COVID19
2010-04-12,0.0,45.0,21.0,26.0,194.0,0.0
2010-04-13,0.0,62.0,21.0,39.0,192.0,0.0
2010-04-14,0.0,54.0,26.0,32.0,207.0,0.0
2010-04-15,0.0,44.0,30.0,38.0,192.0,0.0
2010-04-16,0.0,49.0,24.0,37.0,169.0,0.0
2010-04-17,1.0,50.0,33.0,29.0,206.0,0.0
2010-04-18,0.0,50.0,18.0,30.0,214.0,0.0
2010-04-19,0.0,55.0,33.0,38.0,180.0,0.0
2010-04-20,0.0,69.0,22.0,36.0,190.0,0.0
2010-04-21,0.0,46.0,26.0,34.0,194.0,0.0
2010-04-22,0.0,46.0,28.0,35.0,165.0,0.0
2010-04-23,0.0,51.0,35.0,30.0,178.0,0.0
2010-04-24,0.0,47.0,36.0,23.0,183.0,0.0
2010-04-25,0.0,44.0,24.0,44.0,198.0,0.0
2010-04-26,1.0,57.0,20.0,30.0,196.0,0.0
2010-04-27,0.0,50.0,39.0,32.0,173.0,0.0
2010-04-28,0.0,39.0,25.0,32.0,185.0,0.0
2010-04-29,0.0,43.0,30.0,42.0,183.0,0.0
2010-04-30,0.0,52.0,33.0,28.0,211.0,0.0
2010-05-01,0.0,53.0,26.0,27.0,213.0,0.0
2010-05-02,0.0,52.0,22.0,33.0,210.0,0.0
2010-05-03,0.0,48.0,30.0,41.0,203.0,0.0
2010-05-04,0.0,56.0,27.0,34.0,205.0,0.0
2010-05-05,0.0,53.0,32.0,39.0,189.0,0.0
2010-05-06,0.0,43.0,40.0,28.0,216.0,0.0
2010-05-07,0.0,64.0,32.0,33.0,201.0,0.0
2010-05-08,0.0,41.0,28.0,28.0,204.0,0.0
2010-05-09,0.0,52.0,22.0,25.0,206.0,0.0
2010-05-10,0.0,55.0,34.0,39.0,202.0,0.0
2010-05-11,0.0,45.0,34.0,42.0,206.0,0.0
2010-05-12,0.0,38.0,31.0,30.0,212.0,0.0
2010-05-13,0.0,45.0,33.0,28.0,216.0,0.0
2010-05-14,0.0,61.0,32.0,35.0,203.0,0.0
2010-05-15,0.0,70.0,24.0,35.0,203.0,0.0
2010-05-16,0.0,47.0,22.0,34.0,195.0,0.0
2010-05-17,0.0,56.0,33.0,29.0,221.0,0.0
2010-05-18,0.0,63.0,28.0,28.0,185.0,0.0
2010-05-19,0.0,57.0,41.0,32.0,222.0,0.0
2010-05-20,0.0,49.0,23.0,37.0,208.0,0.0
2010-05-21,0.0,63.0,25.0,47.0,204.0,0.0
2010-05-22,1.0,54.0,33.0,33.0,230.0,0.0
2010-05-23,0.0,57.0,35.0,35.0,245.0,0.0
2010-05-24,1.0,52.0,36.0,36.0,203.0,0.0
2010-05-25,0.0,50.0,30.0,50.0,195.0,0.0
2010-05-26,0.0,69.0,31.0,33.0,194.0,0.0
2010-05-27,0.0,74.0,26.0,37.0,194.0,0.0
2010-05-28,0.0,46.0,35.0,31.0,192.0,0.0
2010-05-29,0.0,48.0,26.0,30.0,187.0,0.0
2010-05-30,0.0,65.0,31.0,38.0,221.0,0.0
2010-05-31,0.0,46.0,29.0,31.0,219.0,0.0
2010-06-01,1.0,48.0,31.0,31.0,232.0,0.0
2010-06-02,0.0,53.0,35.0,29.0,219.0,0.0
2010-06-03,0.0,53.0,40.0,33.0,213.0,0.0
2010-06-04,0.0,48.0,34.0,31.0,184.0,0.0
2010-06-05,0.0,54.0,30.0,30.0,235.0,0.0
2010-06-06,0.0,58.0,27.0,32.0,220.0,0.0
2010-06-07,0.0,48.0,27.0,43.0,245.0,0.0
2010-06-08,0.0,53.0,30.0,38.0,214.0,0.0
2010-06-09,0.0,55.0,28.0,29.0,255.0,0.0
2010-06-10,0.0,69.0,37.0,41.0,215.0,0.0
2010-06-11,0.0,66.0,21.0,40.0,218.0,0.0
2010-06-12,0.0,46.0,27.0,32.0,232.0,0.0
2010-06-13,0.0,65.0,36.0,34.0,238.0,0.0
2010-06-14,0.0,50.0,32.0,27.0,266.0,0.0
2010-06-15,0.0,65.0,44.0,34.0,208.0,0.0
2010-06-16,0.0,72.0,27.0,39.0,218.0,0.0
2010-06-17,0.0,76.0,29.0,32.0,219.0,0.0
2010-06-18,0.0,68.0,43.0,29.0,214.0,0.0
2010-06-19,0.0,55.0,37.0,47.0,215.0,0.0
2010-06-20,0.0,61.0,25.0,48.0,253.0,0.0
2010-06-21,0.0,72.0,27.0,41.0,196.0,0.0
2010-06-22,0.0,58.0,31.0,45.0,227.0,0.0
2010-06-23,0.0,48.0,29.0,38.0,236.0,0.0
2010-06-24,0.0,52.0,41.0,33.0,248.0,0.0
2010-06-25,0.0,79.0,39.0,43.0,203.0,0.0
2010-06-26,0.0,59.0,32.0,34.0,198.0,0.0
2010-06-27,0.0,59.0,44.0,44.0,218.0,0.0
2010-06-28,0.0,58.0,20.0,49.0,202.0,0.0
2010-06-29,0.0,65.0,31.0,27.0,210.0,0.0
2010-06-30,0.0,62.0,40.0,32.0,179.0,0.0
2010-07-01,0.0,58.0,30.0,36.0,168.0,0.0
2010-07-02,0.0,54.0,39.0,41.0,230.0,0.0
2010-07-03,0.0,75.0,44.0,36.0,207.0,0.0
2010-07-04,0.0,57.0,37.0,39.0,224.0,0.0
2010-07-05,0.0,45.0,32.0,40.0,189.0,0.0
2010-07-06,1.0,63.0,28.0,38.0,206.0,0.0
2010-07-07,0.0,59.0,37.0,47.0,214.0,0.0
2010-07-08,0.0,55.0,21.0,48.0,208.0,0.0
2010-07-09,0.0,51.0,33.0,32.0,212.0,0.0
2010-07-10,0.0,56.0,29.0,32.0,208.0,0.0
2010-07-11,0.0,68.0,28.0,34.0,182.0,0.0
2010-07-12,0.0,56.0,41.0,22.0,213.0,0.0
2010-07-13,0.0,71.0,43.0,18.0,225.0,0.0
2010-07-14,0.0,68.0,31.0,42.0,253.0,0.0
2010-07-15,0.0,56.0,34.0,40.0,217.0,0.0
2010-07-16,0.0,58.0,41.0,31.0,217.0,0.0
2010-07-17,0.0,65.0,26.0,39.0,225.0,0.0
2010-07-18,0.0,74.0,29.0,38.0,227.0,0.0
2010-07-19,0.0,67.0,28.0,31.0,260.0,0.0
2010-07-20,0.0,72.0,37.0,30.0,253.0,0.0
2010-07-21,0.0,64.0,29.0,30.0,243.0,0.0
2010-07-22,1.0,68.0,45.0,35.0,242.0,0.0
2010-07-23,0.0,63.0,35.0,40.0,260.0,0.0
2010-07-24,0.0,65.0,31.0,32.0,232.0,0.0
2010-07-25,0.0,63.0,41.0,49.0,222.0,0.0
2010-07-26,0.0,71.0,31.0,26.0,207.0,0.0
2010-07-27,0.0,65.0,26.0,36.0,197.0,0.0
2010-07-28,0.0,64.0,37.0,42.0,215.0,0.0
2010-07-29,1.0,73.0,37.0,37.0,197.0,0.0
2010-07-30,0.0,52.0,35.0,34.0,191.0,0.0
2010-07-31,0.0,79.0,34.0,37.0,211.0,0.0
2010-08-01,0.0,73.0,28.0,29.0,179.0,0.0
2010-08-02,0.0,61.0,36.0,41.0,201.0,0.0
2010-08-03,0.0,57.0,27.0,32.0,237.0,0.0
2010-08-04,0.0,72.0,29.0,30.0,227.0,0.0
2010-08-05,1.0,76.0,40.0,31.0,231.0,0.0
2010-08-06,0.0,65.0,40.0,34.0,220.0,0.0
2010-08-07,0.0,78.0,35.0,33.0,241.0,0.0
2010-08-08,0.0,58.0,43.0,41.0,224.0,0.0
2010-08-09,0.0,64.0,27.0,35.0,205.0,0.0
2010-08-10,0.0,69.0,19.0,44.0,252.0,0.0
2010-08-11,0.0,60.0,34.0,31.0,198.0,0.0
2010-08-12,0.0,68.0,29.0,48.0,239.0,0.0
2010-08-13,1.0,59.0,37.0,46.0,238.0,0.0
2010-08-14,0.0,59.0,35.0,35.0,221.0,0.0
2010-08-15,0.0,78.0,34.0,32.0,233.0,0.0
2010-08-16,0.0,69.0,34.0,34.0,225.0,0.0
2010-08-17,0.0,69.0,32.0,43.0,234.0,0.0
2010-08-18,0.0,78.0,30.0,32.0,222.0,0.0
2010-08-19,0.0,59.0,43.0,29.0,234.0,0.0
2010-08-20,0.0,78.0,45.0,43.0,213.0,0.0
2010-08-21,0.0,68.0,35.0,37.0,241.0,0.0
2010-08-22,0.0,76.0,40.0,38.0,225.0,0.0
2010-08-23,0.0,87.0,43.0,45.0,225.0,0.0
2010-08-24,0.0,87.0,36.0,35.0,223.0,0.0
2010-08-25,0.0,74.0,43.0,40.0,201.0,0.0
2010-08-26,0.0,80.0,37.0,35.0,218.0,0.0
2010-08-27,0.0,67.0,34.0,35.0,216.0,0.0
2010-08-28,0.0,82.0,30.0,31.0,236.0,0.0
2010-08-29,0.0,75.0,41.0,45.0,218.0,0.0
2010-08-30,0.0,70.0,30.0,34.0,210.0,0.0
2010-08-31,0.0,63.0,35.0,42.0,181.0,0.0
2010-09-01,0.0,79.0,33.0,35.0,212.0,0.0
2010-09-02,1.0,77.0,32.0,39.0,214.0,0.0
2010-09-03,0.0,81.0,38.0,30.0,211.0,0.0
2010-09-04,0.0,64.0,33.0,37.0,229.0,0.0
2010-09-05,0.0,53.0,31.0,36.0,171.0,0.0
2010-09-06,0.0,54.0,34.0,28.0,196.0,0.0
2010-09-07,0.0,66.0,43.0,46.0,201.0,0.0
2010-09-08,0.0,50.0,19.0,54.0,220.0,0.0
2010-09-09,0.0,85.0,34.0,30.0,202.0,0.0
2010-09-10,0.0,62.0,33.0,32.0,215.0,0.0
2010-09-11,0.0,80.0,33.0,39.0,203.0,0.0
2010-09-12,0.0,69.0,29.0,41.0,223.0,0.0
2010-09-13,0.0,71.0,32.0,28.0,204.0,0.0
2010-09-14,0.0,70.0,47.0,40.0,214.0,0.0
2010-09-15,0.0,69.0,33.0,28.0,207.0,0.0
2010-09-16,0.0,68.0,29.0,32.0,208.0,0.0
2010-09-17,0.0,63.0,27.0,33.0,193.0,0.0
2010-09-18,0.0,79.0,29.0,37.0,227.0,0.0
2010-09-19,0.0,34.0,40.0,30.0,207.0,0.0
2010-09-20,1.0,63.0,25.0,41.0,227.0,0.0
2010-09-21,0.0,67.0,33.0,36.0,209.0,0.0
2010-09-22,0.0,66.0,43.0,42.0,215.0,0.0
2010-09-23,0.0,63.0,35.0,49.0,228.0,0.0
2010-09-24,0.0,78.0,22.0,36.0,194.0,0.0
2010-09-25,0.0,58.0,37.0,39.0,206.0,0.0
2010-09-26,0.0,49.0,26.0,24.0,195.0,0.0
2010-09-27,0.0,70.0,32.0,45.0,211.0,0.0
2010-09-28,1.0,49.0,29.0,34.0,227.0,0.0
2010-09-29,0.0,64.0,41.0,49.0,180.0,0.0
2010-09-30,0.0,67.0,37.0,30.0,194.0,0.0
2010-10-01,0.0,55.0,34.0,34.0,212.0,0.0
2010-10-02,1.0,61.0,25.0,38.0,220.0,0.0
2010-10-03,0.0,61.0,40.0,31.0,180.0,0.0
2010-10-04,0.0,71.0,31.0,37.0,231.0,0.0
2010-10-05,0.0,60.0,35.0,39.0,221.0,0.0
2010-10-06,0.0,84.0,31.0,38.0,221.0,0.0
2010-10-07,0.0,69.0,33.0,38.0,215.0,0.0
2010-10-08,0.0,70.0,28.0,28.0,208.0,0.0
2010-10-09,0.0,68.0,29.0,31.0,194.0,0.0
2010-10-10,0.0,51.0,19.0,42.0,192.0,0.0
2010-10-11,0.0,68.0,28.0,39.0,220.0,0.0
2010-10-12,0.0,60.0,27.0,31.0,219.0,0.0
2010-10-13,0.0,65.0,45.0,22.0,212.0,0.0
2010-10-14,0.0,66.0,28.0,46.0,206.0,0.0
2010-10-15,0.0,71.0,28.0,48.0,216.0,0.0
2010-10-16,0.0,75.0,37.0,36.0,185.0,0.0
2010-10-17,0.0,58.0,28.0,32.0,194.0,0.0
2010-10-18,0.0,58.0,26.0,24.0,204.0,0.0
2010-10-19,1.0,61.0,19.0,35.0,172.0,0.0
2010-10-20,0.0,62.0,40.0,40.0,227.0,0.0
2010-10-21,0.0,60.0,27.0,40.0,215.0,0.0
2010-10-22,0.0,55.0,34.0,38.0,214.0,0.0
2010-10-23,0.0,56.0,30.0,37.0,219.0,0.0
2010-10-24,0.0,66.0,19.0,33.0,202.0,0.0
2010-10-25,0.0,55.0,31.0,37.0,212.0,0.0
2010-10-26,0.0,53.0,38.0,32.0,198.0,0.0
2010-10-27,1.0,53.0,28.0,40.0,172.0,0.0
2010-10-28,0.0,60.0,33.0,34.0,207.0,0.0
2010-10-29,0.0,64.0,34.0,34.0,186.0,0.0
2010-10-30,0.0,61.0,35.0,33.0,195.0,0.0
2010-10-31,0.0,39.0,24.0,37.0,208.0,0.0
2010-11-01,0.0,78.0,26.0,30.0,218.0,0.0
2010-11-02,0.0,59.0,32.0,35.0,190.0,0.0
2010-11-03,0.0,50.0,35.0,36.0,196.0,0.0
2010-11-04,0.0,59.0,22.0,43.0,192.0,0.0
2010-11-05,0.0,70.0,39.0,38.0,189.0,0.0
2010-11-06,1.0,64.0,21.0,41.0,181.0,0.0
2010-11-07,0.0,61.0,31.0,29.0,188.0,0.0
2010-11-08,0.0,68.0,29.0,38.0,234.0,0.0
2010-11-09,0.0,71.0,34.0,31.0,209.0,0.0
2010-11-10,0.0,63.0,23.0,37.0,187.0,0.0
2010-11-11,0.0,57.0,27.0,35.0,161.0,0.0
2010-11-12,0.0,57.0,32.0,42.0,195.0,0.0
2010-11-13,0.0,68.0,27.0,36.0,191.0,0.0
2010-11-14,0.0,69.0,29.0,40.0,186.0,0.0
2010-11-15,0.0,74.0,29.0,48.0,167.0,0.0
2010-11-16,0.0,61.0,24.0,33.0,197.0,0.0
2010-11-17,0.0,63.0,31.0,42.0,187.0,0.0
2010-11-18,0.0,60.0,38.0,42.0,178.0,0.0
2010-11-19,0.0,60.0,23.0,47.0,190.0,0.0
2010-11-20,0.0,65.0,40.0,37.0,205.0,0.0
2010-11-21,0.0,73.0,31.0,39.0,193.0,0.0
2010-11-22,0.0,55.0,37.0,40.0,159.0,0.0
2010-11-23,0.0,60.0,36.0,44.0,185.0,0.0
2010-11-24,0.0,57.0,22.0,40.0,197.0,0.0
2010-11-25,0.0,52.0,24.0,39.0,175.0,0.0
2010-11-26,0.0,49.0,27.0,37.0,189.0,0.0
2010-11-27,0.0,59.0,20.0,41.0,173.0,0.0
2010-11-28,0.0,50.0,24.0,32.0,186.0,0.0
2010-11-29,0.0,61.0,35.0,36.0,171.0,0.0
2010-11-30,0.0,56.0,34.0,34.0,187.0,0.0
2010-12-01,0.0,53.0,33.0,35.0,214.0,0.0
2010-12-02,0.0,49.0,34.0,34.0,198.0,0.0
2010-12-03,0.0,57.0,26.0,24.0,178.0,0.0
2010-12-04,0.0,51.0,30.0,24.0,207.0,0.0
2010-12-05,0.0,58.0,30.0,35.0,177.0,0.0
2010-12-06,0.0,59.0,20.0,30.0,189.0,0.0
2010-12-07,0.0,48.0,37.0,41.0,204.0,0.0
2010-12-08,0.0,51.0,38.0,40.0,206.0,0.0
2010-12-09,0.0,45.0,31.0,38.0,188.0,0.0
2010-12-10,0.0,58.0,29.0,33.0,206.0,0.0
2010-12-11,0.0,42.0,31.0,38.0,186.0,0.0
2010-12-12,0.0,42.0,29.0,42.0,211.0,0.0
2010-12-13,0.0,60.0,29.0,42.0,206.0,0.0
2010-12-14,0.0,63.0,27.0,31.0,188.0,0.0
2010-12-15,0.0,57.0,19.0,42.0,164.0,0.0
2010-12-16,0.0,37.0,26.0,34.0,201.0,0.0
